z,n_sims,Ap_ref,intercept,slope_per_Ap,lin_resid_rms,flat_rms
2.6,3,1.8633333333333333e-09,1.1027489002143982,25064346.370165564,0.021485455148876783,0.02402041222162901
2.8,3,1.8633333333333333e-09,1.0776821918468014,-28080325.404615223,0.009033607524001383,0.015046363199205872
3.0,3,1.8633333333333333e-09,1.0588986642750964,-13460401.637151139,0.011712444588174558,0.013055668324254465
3.2,3,1.8633333333333333e-09,1.046383818639151,24785773.91811215,0.005326475960157714,0.011881785578053252
3.4,3,1.8633333333333333e-09,1.0540486014410542,-55017834.78215586,0.0006994952929624829,0.023586157150966923
3.6,3,1.8633333333333333e-09,1.0633917500717955,-30336551.731466345,0.02470442857450267,0.027915900346449495
3.8,3,1.8633333333333333e-09,1.061008966062518,-34727923.023334965,0.012049501414835297,0.01914795401159621
4.0,3,1.8633333333333333e-09,1.0739049676121495,-47101162.58949422,0.00494465631933523,0.02078025769626134
4.2,3,1.8633333333333333e-09,1.082715291535051,-51805870.286160745,0.001985520760055475,0.022288034066843834
4.4,3,1.8633333333333333e-09,1.0711668193338615,-47946867.65877208,0.002316301542855816,0.020675946616027518
4.6,3,1.8633333333333333e-09,1.0834520839678814,-72964646.12799525,0.0005184377151509682,0.03127049780448585
