quantity,class,param,spearman_rho,pvalue
omega,LLS,ns,0.35654995579532023,0.005573843753296129
omega,LLS,Ap,0.726170126400704,7.581810177845471e-11
omega,LLS,herei,0.10080816234070268,0.44743812386820697
omega,LLS,heref,-0.07538401062801547,0.570405169288222
omega,LLS,alphaq,0.09386460937018007,0.479488849022533
omega,LLS,hub,-0.4960762314018169,6.454773835864654e-05
omega,LLS,omegamh2,0.07425875055929179,0.5761884814606126
omega,LLS,hireionz,0.089344167082343,0.5009919288373654
omega,LLS,bhfeedback,-0.04085688416206081,0.7586597073587543
omega,subDLA,ns,0.42336471101690415,0.000834881540268938
omega,subDLA,Ap,0.7074364744096044,3.7534948089128376e-10
omega,subDLA,herei,0.1130547903548385,0.3939099196620311
omega,subDLA,heref,-0.04299723909802666,0.7464292850302786
omega,subDLA,alphaq,0.11338564270121379,0.3925182990566708
omega,subDLA,hub,-0.4806149501662333,0.00011682200834574696
omega,subDLA,omegamh2,0.06250876093313044,0.6381219840009543
omega,subDLA,hireionz,0.08005026942706492,0.5467147724236375
omega,subDLA,bhfeedback,-0.029342139984770425,0.825398897027914
omega,DLA,ns,0.2745951991718202,0.0353156437659874
omega,DLA,Ap,0.8109830095179753,6.920968825948002e-15
omega,DLA,herei,0.09013985870070369,0.49717123256539564
omega,DLA,heref,-0.016251845641402328,0.9027644825051113
omega,DLA,alphaq,0.08547757858274492,0.5197716137574384
omega,DLA,hub,-0.4105569329229554,0.0012389716627715988
omega,DLA,omegamh2,0.06265674568912744,0.6373252349454263
omega,DLA,hireionz,0.07560790325221503,0.5692576857807011
omega,DLA,bhfeedback,-0.05140719545140556,0.6989980064205504
dndx,LLS,ns,0.34962296673691456,0.006641911075878954
dndx,LLS,Ap,0.8375783656987875,1.35005388245872e-16
dndx,LLS,herei,0.09770997005073037,0.46159037013202436
dndx,LLS,heref,-0.1944667788709527,0.13997114488442225
dndx,LLS,alphaq,0.1356536477884109,0.30563406653457825
dndx,LLS,hub,-0.2319776732832275,0.07707202897210876
dndx,LLS,omegamh2,0.175036369393245,0.18484759484631472
dndx,LLS,hireionz,0.10287584825968182,0.43812839078843036
dndx,LLS,bhfeedback,-0.014671069992385212,0.9121830563921323
dndx,subDLA,ns,0.4016484541797927,0.0016158506704454234
dndx,subDLA,Ap,0.8373737860358583,1.395257664923277e-16
dndx,subDLA,herei,0.08297894255878659,0.532092467454398
dndx,subDLA,heref,-0.13428233610899692,0.31059476917158635
dndx,subDLA,alphaq,0.1413521530272606,0.28557069711054917
dndx,subDLA,hub,-0.2193222200223434,0.09511939858120831
dndx,subDLA,omegamh2,0.14943500660576495,0.25863230171305235
dndx,subDLA,hireionz,0.08916881052280945,0.5018359754371519
dndx,subDLA,bhfeedback,-0.004179209181097781,0.9749390593387693
dndx,DLA,ns,0.40594494106412027,0.0014228751274267346
dndx,DLA,Ap,0.8327269051207493,2.9129121533770157e-16
dndx,DLA,herei,0.07616876516667764,0.5663879036477241
dndx,DLA,heref,-0.11104453523684792,0.4024276966266473
dndx,DLA,alphaq,0.11277195752164534,0.3951018637851794
dndx,DLA,hub,-0.2278273860706512,0.0826636423756578
dndx,DLA,omegamh2,0.14905024624017277,0.25987436281759646
dndx,DLA,hireionz,0.08574935761190525,0.5184401560610086
dndx,DLA,bhfeedback,-0.017155215309820955,0.8973879186669075
